Jurisdiction,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
"Rhode Island/c,e",664,738,813,962,"1,037","1,157","1,221","1,306","1,358","1,428","1,906","2,479","2,392","2,771","2,775","2,783","2,919","2,902","3,271","3,371","3,445","3,003","3,286","3,241","3,520","3,527","3,430","3,654","3,996","4,018","4,045","3,674","3,357","3,337","3,318","3,361","3,359","3,248","3,103","2,861","2,767","2,740"
South Carolina,"7,536","7,643","7,862","8,538","9,137","9,576","9,892","10,510","11,676","12,664","13,888","15,720","17,319","18,269","18,643","18,704","18,999","19,611","20,446","21,173","21,764","22,008","21,778","22,576","23,715","23,719","23,428","23,160","23,616","24,239","24,326","24,288","23,578","22,914","22,388","22,060","21,401","20,929","20,858","19,906","19,033","18,608"
South Dakota,532,562,635,693,791,826,921,"1,049","1,081","1,133","1,020","1,256","1,341","1,374","1,487","1,553","1,708","1,871","2,063","2,242","2,422","2,506","2,616","2,790","2,918","3,026","3,095","3,463","3,359","3,311","3,342","3,434","3,434","3,535","3,650","3,682","3,608","3,564","3,831","3,970","3,948","3,801"
Tennessee,"5,835","6,629","7,022","7,897","7,869","8,201","7,307","7,127","7,591","7,639","7,732","10,630","10,388","11,474","11,849","12,824","14,401","15,206","15,626","16,659","21,438","22,502","22,166","23,671","24,989","25,403","25,884","26,369","25,745","26,267","27,228","26,965","27,451","28,479","28,411","28,521","28,769","28,172","28,203","28,980","26,321","26,349"
Texas,"24,575","26,522","29,892","31,502","36,149","35,259","36,682","37,532","38,534","38,821","40,437","44,022","50,042","51,677","60,467","92,013","118,195","127,766","132,383","140,351","144,510","163,190","166,719","162,070","162,003","166,911","168,105","169,003","172,116","171,790","172,506","171,249","173,649","172,224","166,372","168,280","166,043","163,909","163,703","162,523","163,628","158,429"
Utah,911,960,932,"1,140","1,216","1,274","1,504","1,633","1,776","1,853","1,961","2,394","2,496","2,625","2,699","2,888","3,045","3,471","4,002","4,301","4,907","5,322","5,637","5,339","5,562","5,763","5,991","6,382","6,433","6,515","6,552","6,538","6,807","6,879","6,962","7,077","7,031","6,495","6,175","6,219","6,651","6,665"
Vermont/c,441,431,480,534,599,497,501,677,697,759,820,905,"1,049","1,118","1,254","1,223","1,301","1,279","1,119","1,270","1,473","1,536","1,697","1,741","1,863","1,944","1,968","2,078","2,215","2,116","2,116","2,220","2,079","2,053","2,034","2,078","1,979","1,750","1,735","1,546","1,659","1,608"
Virginia,"8,344","8,449","8,920","9,388","10,079","10,093","10,839","12,073","12,930","13,321","14,184","16,477","17,593","19,829","21,199","22,850","26,968","27,415","27,655","28,385","30,276","29,789","30,168","31,662","34,973","35,067","35,564","35,344","36,688","37,984","38,216","38,059","37,638","38,130","37,044","36,982","37,544","38,403","37,813","37,158","36,660","36,091"
Washington,"4,487","4,342","4,399","5,336","6,264","6,658","6,821","6,919","6,603","6,131","5,816","6,928","7,995","9,156","9,959","10,419","10,833","11,608","12,527","13,214","14,161","14,590","14,915","15,159","16,062","16,148","16,614","17,382","17,561","17,772","17,926","18,233","18,235","17,847","17,271","17,984","18,120","18,284","19,104","19,656","19,523","19,261"
West Virginia,"1,237","1,251","1,257","1,565","1,547","1,611","1,579","1,725","1,472","1,449","1,455","1,536","1,565","1,502","1,674","1,805","2,332","2,512","2,749","3,148","3,478","3,532","3,856","4,215","4,544","4,758","5,067","5,312","5,733","6,056","6,059","6,367","6,681","6,826","7,070","6,824","6,896","7,118","7,162","7,092","6,775","6,800"
Wisconsin,"3,432","3,677","3,980","4,385","4,714","4,845","4,974","5,425","5,736","6,143","6,353","6,788","7,465","7,854","8,191","8,781","10,022","11,199","12,991","16,280","18,403","20,390","20,754","21,495","22,113","22,604","22,959","22,697","23,415","23,743","23,379","23,165","22,729","22,657","22,600","22,471","22,597","22,975","23,377","23,945","24,064","23,956"
Wyoming,433,504,534,556,702,721,724,762,861,916,945,"1,026","1,110","1,099","1,063","1,129","1,217","1,395","1,477","1,549","1,571","1,710","1,680","1,684","1,737","1,872","1,980","2,047","2,114","2,084","2,084","2,075","2,112","2,183","2,204","2,310","2,383","2,424","2,374","2,473","2,543","2,479"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
